2005-11-25 - 15:42:03,093  Edit
2005-11-25 - 15:42:27,046  Edit
2005-11-25 - 15:43:12,140  Edit
2005-11-25 - 15:44:56,281  Edit
2005-11-25 - 15:46:57,312  Привет!
2005-11-25 - 15:53:58,203  ijnho
2005-11-25 - 15:54:55,218  ijnho
2005-11-25 - 15:55:21,031  ля-ля...
2005-11-25 - 15:55:21,687  ля-ля...
2005-11-25 - 15:58:06,578  Edit
2005-11-25 - 15:58:33,640  Editqfkhsadlkgvdflbkvnsdflkbn
2005-11-25 - 16:00:12,015  о меня
2005-11-25 - 16:00:16,265  от полигона
2005-11-25 - 16:00:22,375  о меня
2005-11-25 - 16:00:24,062  о меня
2005-11-25 - 16:00:24,546  о меня
2005-11-25 - 16:02:03,203  sergkasldjkal;dmv;sdfv
2005-11-25 - 16:02:11,875  Essdgsdgsdgsdgsdg
2005-11-25 - 16:02:13,000  Привет
2005-11-25 - 16:02:23,968  привет
2005-11-25 - 16:02:33,218  Скоро домой?
2005-11-25 - 16:02:54,968  да...
2005-11-25 - 16:04:21,187  ывмпывмЫВмЫВм
2005-11-25 - 16:04:48,328  Ekz-kz///
2005-11-25 - 16:05:01,953  ля...-ля...
2005-11-25 - 16:14:20,859  от полигона
2005-11-25 - 16:14:31,734  от полигона
2005-11-25 - 16:15:01,421  от полигона
2005-11-25 - 16:15:36,796  от полигона
2005-11-25 - 16:19:01,296  тест
2005-11-28 - 09:25:16,234  Привет
2005-11-28 - 09:41:46,296  Edit
h]uhoi
2005-11-28 - 12:09:23,578  16777216
2005-11-28 - 12:09:24,734  33554432
2005-11-28 - 12:09:24,734  16777216
2005-11-28 - 12:09:26,046  33554432
2005-11-28 - 12:09:26,046  16777216
2005-11-28 - 12:09:27,015  67108864
2005-11-28 - 12:09:27,015  50331648
2005-11-28 - 12:09:27,765  67108864
2005-11-28 - 12:09:27,765  50331648
2005-11-28 - 12:09:31,718  67108864
2005-11-28 - 12:09:31,718  50331648
2005-11-28 - 12:09:32,656  67108864
2005-11-28 - 12:09:32,656  50331648
2005-11-28 - 12:09:33,421  67108864
2005-11-28 - 12:09:33,421  50331648
2005-11-28 - 12:09:33,421  83951616
2005-11-28 - 12:09:34,265  67108864
2005-11-28 - 12:09:34,265  50331648
2005-11-28 - 12:09:34,265  83951616
2005-11-28 - 12:09:34,781  67108864
2005-11-28 - 12:09:34,781  50331648
2005-11-28 - 12:09:34,781  83951616
2005-11-28 - 12:09:39,375  33554432
2005-11-28 - 12:09:49,218  
2005-11-28 - 12:09:50,312  
2005-11-28 - 12:09:50,312  
2005-11-28 - 12:09:50,578  
2005-11-28 - 12:09:50,578  
2005-11-28 - 12:09:52,515  
2005-11-28 - 12:10:05,062  0
2005-11-28 - 12:10:05,906  0
2005-11-28 - 12:10:05,906  0
2005-11-28 - 12:10:07,140  0
2005-11-28 - 12:10:07,140  0
2005-11-28 - 12:10:07,265  0
2005-11-28 - 12:10:07,265  0
2005-11-28 - 12:10:07,265  0
2005-11-28 - 12:10:07,265  0
2005-11-28 - 12:10:07,265  0
2005-11-28 - 12:10:07,265  0
2005-11-28 - 12:10:07,265  0
2005-11-28 - 12:10:07,281  0
2005-11-28 - 12:10:07,281  0
2005-11-28 - 12:10:07,281  0
2005-11-28 - 12:10:07,562  0
2005-11-28 - 12:10:07,562  0
2005-11-28 - 12:10:07,562  0
2005-11-28 - 12:10:07,562  0
2005-11-28 - 12:10:07,562  0
2005-11-28 - 12:10:07,562  0
2005-11-28 - 12:10:07,593  0
2005-11-28 - 12:10:07,593  0
2005-11-28 - 12:10:09,781  0
2005-11-28 - 12:10:24,109  256
2005-11-28 - 12:10:25,078  1024
2005-11-28 - 12:10:25,078  768
2005-11-28 - 12:10:25,078  1024
2005-11-28 - 12:10:25,078  768
2005-11-28 - 12:10:30,750  1024
2005-11-28 - 12:10:30,750  768
2005-11-28 - 12:10:31,546  1024
2005-11-28 - 12:10:31,546  768
2005-11-28 - 12:10:34,687  1024
2005-11-28 - 12:10:34,687  768
2005-11-28 - 12:10:34,890  1024
2005-11-28 - 12:10:34,890  768
2005-11-28 - 12:10:36,843  1024
2005-11-28 - 12:10:36,843  768
